"umlsid"	"parent_id"
"C0040262"	"meddra:10040792"
"C0040262"	"meddra:10017528"
"C0040262"	"meddra:10021881"
"C0040262"	"meddra:10040785"
"C0040262"	"meddra:10035117"
"C0040262"	"meddra:10043875"
"C0040262"	"meddra:10056227"
"C0596170"	"ndfrt:N0000181165"
"C0596170"	"ndfrt:N0000000457"
"C0596170"	"ndfrt:N0000000538"
"C0596170"	"ndfrt:N0000000006"
"C0596170"	"ndfrt:N0000000004"
"C0019357"	"ndfrt:N0000003485"
"C0019357"	"ndfrt:N0000003331"
"C0019357"	"ndfrt:N0000003323"
"C0019357"	"ndfrt:N0000001181"
"C0019357"	"ndfrt:N0000000004"
"C0040247"	"ndfrt:N0000002955"
"C0040247"	"ndfrt:N0000000945"
"C0040247"	"ndfrt:N0000002075"
"C0040247"	"ndfrt:N0000000523"
"C0040247"	"ndfrt:N0000000007"
"C0040247"	"ndfrt:N0000000004"
"C0040262"	"ndfrt:N0000002960"
"C0040262"	"ndfrt:N0000000945"
"C0040262"	"ndfrt:N0000002075"
"C0040262"	"ndfrt:N0000000523"
"C0040262"	"ndfrt:N0000000007"
"C0040262"	"ndfrt:N0000000004"
"C0334634"	"meddra:10026798"
"C0334634"	"meddra:10025320"
"C0334634"	"meddra:10029104"
"C0334634"	"meddra:10005329"
"C0334634"	"meddra:10061275"
"C0334634"	"meddra:10026799"
"C0041909"	"meddra:10046274"
"C0041909"	"meddra:10017958"
"C0041909"	"meddra:10052742"
"C0041909"	"meddra:10047075"
"C0041909"	"meddra:10017959"
"C0041909"	"meddra:10017947"
"C0041909"	"meddra:10047065"
"C0041909"	"meddra:10046284"
"C0041909"	"meddra:10045284"
"C0041909"	"meddra:10055356"
"C0042135"	"meddra:10021729"
"C0042135"	"meddra:10046763"
"C0042135"	"meddra:10013375"
"C0042135"	"meddra:10046828"
"C0042135"	"meddra:10038604"
"C0042135"	"meddra:10003630"
"C0042135"	"meddra:10003636"
"C0042135"	"meddra:10046834"
"C0151721"	"meddra:10015532"
"C0151721"	"meddra:10043296"
"C0151721"	"meddra:10013322"
"C0151721"	"meddra:10014701"
"C0151721"	"meddra:10013362"
"C0151721"	"meddra:10038604"
"C0151721"	"meddra:10014698"
"C0151721"	"meddra:10021011"
"C0151721"	"meddra:10043315"
"C0151721"	"meddra:10043316"
"C0151721"	"meddra:10043335"
"C0038166"	"meddra:10066409"
"C0038166"	"meddra:10041925"
"C0038166"	"meddra:10040788"
"C0038166"	"meddra:10040792"
"C0038166"	"meddra:10004018"
"C0038166"	"meddra:10021881"
"C0038166"	"meddra:10040785"
"C0149678"	"meddra:10015107"
"C0149678"	"meddra:10047438"
"C0149678"	"meddra:10021881"
"C0149678"	"meddra:10015108"
"C0149678"	"meddra:10014077"
"C0010403"	"meddra:10011474"
"C0010403"	"meddra:10027657"
"C0010403"	"meddra:10003816"
"C0010403"	"meddra:10021428"
"C0010403"	"meddra:10011475"
"C0002986"	"meddra:10016016"
"C0002986"	"meddra:10043190"
"C0002986"	"meddra:10033788"
"C0002986"	"meddra:10024579"
"C0002986"	"meddra:10027424"
"C0002986"	"meddra:10021605"
"C0002986"	"meddra:10029305"
"C0002986"	"meddra:10047043"
"C0334634"	"ndfrt:N0000004161"
"C0334634"	"ndfrt:N0000001910"
"C0334634"	"ndfrt:N0000001905"
"C0334634"	"ndfrt:N0000001914"
"C0334634"	"ndfrt:N0000001669"
"C0334634"	"ndfrt:N0000001668"
"C0334634"	"ndfrt:N0000000004"
"C0042135"	"ndfrt:N0000003092"
